M’nimo de Veh’culos,Nœmero de nodos,Average of GAP,Average of Solucion,Average of Tiempo (s),,,,,,,
8,16,0.79%,454.094,10.375,,,,,,,
8,22,3.42%,624.192,14.195,,,,,M’nimo de Veh’culos,Nœmero de nodos,Average of Tiempo (s)
8,23,4.93%,555.759,14.247,,,,,8,16,10.37457183
8,50,29.42%,817.200,36.688,,,,,8,22,14.19486356
8,55,41.54%,832.681,37.272,,,,,8,23,14.24707852
15,55,12.37%,1112.021,54.410,,,,,8,50,36.68821986
15,60,23.11%,1192.180,45.348,,,,,8,55,37.27228843
2,19,16.27%,246.871,10.507,,,,,15,55,54.40973141
2,20,21.44%,262.860,12.772,,,,,15,60,45.347517
2,21,17.00%,247.445,17.168,,,,,2,19,10.50715773
2,22,20.88%,261.486,12.785,,,,,2,20,12.77234208
10,50,26.39%,880.242,44.430,,,,,2,21,17.16803211
10,51,31.34%,973.727,40.727,,,,,2,22,12.78505328
10,55,32.62%,920.990,45.661,,,,,10,50,44.43031889
10,60,37.65%,1024.702,44.220,,,,,10,51,40.72723872
10,65,42.41%,1128.541,48.551,,,,,10,55,45.6606845
10,70,48.78%,1230.791,50.717,,,,,10,60,44.22046992
5,40,41.08%,646.530,17.476,,,,,10,65,48.5513629
5,45,45.63%,743.207,19.940,,,,,10,70,50.7169422
5,76,79.29%,1124.789,49.127,,,,,5,40,17.47551831
7,50,43.57%,795.968,42.595,,,,,5,45,19.93974507
7,55,45.49%,826.903,47.305,,,,,5,76,49.12730754
4,76,89.73%,1125.589,49.858,,,,,7,50,42.59544503
4,101,138.45%,1624.427,69.835,,,,,7,55,47.30494704
,,,,,,,,,4,76,49.85765235
,,,,,,,,,4,101,69.83488485
